FY;Year;Comp;II;Curr;RepCurr;Xrate;FA;FA_IT;FA_TA;FA_Ot;CA;CA_Inv;CA_Rec;CA_Ot;CA_Csh;Equity;NCL;NCL_LTD;NCL_Ot;NCL_Prov;CL;CL_Loans;CL_Payables;CL_Ot;HC;Turnover;Sales;CoS;Gprofit;OpEx;EBIT;FiInc;FiEx;FinRes;PBTExt;Tax;PAT;ExtRev;ExtExp;ExtRes;NetInc;Xsales;MatCoS;SW;Dep;IntExp;RaDExp;CF;AV;EBITDA
31/12/2012;2012;VALVE (ENGINEERING) SERVICES LIMITED; D;GBP;kEUR;1,196000;228,43565341;0,00000000;76,54388386;151,89176954;7185,55709781;314,54752276;2487,67622561;4383,33334945;4323,53344018;1405,29786783;2570,20010040;597,99909269;1972,20100770;3,58799456;3437,29878480;637,46703281;2278,37654316;521,45520883;19,00000000;18521,22789891;n.a.;14456,03006678;4066,39383032;3802,07823135;263,11960079;11,95998185;196,14370240;-184,18372055;78,93588024;59,79990927;19,13597097;n.a.;n.a.;n.a.;19,13597097;n.a.;n.a.;2032,00091697;31,09595282;196,14370240;n.a.;50,23192379;2338,17645243;294,21555361
31/12/2011;2011;VALVE (ENGINEERING) SERVICES LIMITED; D;GBP;kEUR;1,194910;372,36765301;0,00000000;71,30772385;301,05992916;5047,49015615;90,88042505;3185,09267106;1771,51706004;1683,76970107;1384,65509289;591,00595759;588,49544201;2,51051558;2,51051558;3444,19675868;686,11040577;1234,84147962;1523,24487330;15,00000000;8405,69249559;n.a.;5652,21492830;2753,47756729;2218,49876561;534,97880168;-22,98657222;89,20515478;-112,19172700;422,78707469;111,58590529;311,20116939;n.a.;n.a.;n.a.;311,20116939;n.a.;n.a.;1193,89534091;27,10783269;89,20515478;n.a.;338,30900208;1732,99540306;562,08663437
31/12/2010;2010;VALVE (ENGINEERING) SERVICES LIMITED; D;GBP;kEUR;1,170580;364,17882683;0,00000000;81,92648173;282,25234510;2898,69419587;2,89952414;1324,56162267;1571,23304906;1481,51636420;1051,59548063;1,87760869;0,00000000;1,87760869;1,87760869;2209,39993338;1086,10531958;295,16383126;828,13078255;13,00000000;3465,14672949;n.a.;2089,33364728;1375,81308220;1251,14407955;124,66900265;23,90439337;36,95986075;-13,05546738;111,61353528;28,10911307;83,50442220;n.a.;n.a.;n.a.;83,50442220;n.a.;n.a.;594,25612558;29,88019907;36,95986075;n.a.;113,38462127;772,70972068;154,54920173
31/12/2009;2009;VALVE (ENGINEERING) SERVICES LIMITED; D;GBP;kEUR;1,124180;336,67599890;231,07810049;105,59789841;0,00000000;3558,12519453;156,77633756;1010,91385303;2390,43500394;2283,00468695;929,72084723;3,76151691;0,00000000;3,76151691;3,76151691;2961,31882929;1709,67463900;152,99233698;1098,65185330;14,00000000;8456,92539027;n.a.;5929,60422173;2527,32116854;2587,51780514;-60,19663660;4,05717709;199,53801726;-195,48084018;-255,67747678;-47,82500073;-207,85247604;n.a.;n.a.;n.a.;-207,85247604;n.a.;n.a.;1098,10212773;38,35150910;199,53801726;n.a.;-169,50096695;1080,31417731;-21,84512750
31/12/2012;2012;CVS (COMMERCIAL VALUERS & SURVEYORS) LIMITED; D;GBP;kEUR;1,196000;501,12323968;0,00000000;501,12323968;0,00000000;7644,82040100;0,00000000;4188,38564523;3456,43475577;385,11141569;443,71532678;917,33060819;25,11596189;891,01864811;0,00000000;6784,89770570;1465,09777710;553,74715983;4766,05276877;245,00000000;17465,16150122;n.a.;8465,27515617;8999,88634504;8224,87952091;775,00682413;n.a.;149,49977317;-149,49977317;625,50705096;186,57571692;438,93133404;n.a.;n.a.;n.a.;438,93133404;n.a.;n.a.;11982,70581940;270,29558990;149,49977317;n.a.;709,22692393;13028,00823343;1045,30241403
31/12/2011;2011;CVS (COMMERCIAL VALUERS & SURVEYORS) LIMITED; D;GBP;kEUR;1,194910;424,19468409;0,00000000;424,19468409;0,00000000;4860,91260528;0,00000000;2250,02419758;2612,08332231;530,54208376;4,77965841;14,33897524;0,00000000;14,33897524;14,33897524;5267,18357033;323,82185743;663,17760470;4280,18410819;189,00000000;12390,06951922;n.a.;6241,03897183;6149,03054739;6145,44580358;3,58474381;7,16948762;n.a.;7,16948762;10,75423143;-559,22003424;569,97426566;n.a.;n.a.;n.a.;569,97426566;n.a.;n.a.;9107,63910459;223,44903077;n.a.;n.a.;793,42329644;n.a.;227,03377458
31/12/2010;2010;CVS (COMMERCIAL VALUERS & SURVEYORS) LIMITED; D;GBP;kEUR;1,170580;410,87322239;0,00000000;410,87322239;0,00000000;6568,11866336;0,00000000;2267,41148653;4300,70717683;1766,40368259;-554,85443708;14,04694777;0,00000000;14,04694777;14,04694777;7519,79937505;1526,43499145;419,06727526;5573,12652936;151,00000000;13085,90243053;n.a.;4822,78540243;8261,94644912;5720,61948099;2540,15638914;8,19405287;183,78090004;-175,58684718;2364,56954197;-397,99685360;2762,56639557;n.a.;n.a.;n.a.;2762,56639557;n.a.;n.a.;6822,13430227;128,76368793;183,78090004;n.a.;2891,33008350;9499,24843222;2668,92007707
31/12/2009;2009;CVS (COMMERCIAL VALUERS & SURVEYORS) LIMITED; D;GBP;kEUR;1,124180;242,82356633;0,00000000;242,82356633;0,00000000;14120,86489187;0,00000000;1693,01986523;12427,84502664;1173,64723725;4523,71310603;13,49019813;0,00000000;13,49019813;13,49019813;9826,48515404;2210,14412685;337,25495323;7279,08607395;97,00000000;8951,87064199;n.a.;2126,95457172;6824,91607026;4411,29478829;2413,62128197;n.a.;170,87584297;-170,87584297;2242,74543900;578,95433638;1663,79110262;n.a.;n.a.;n.a.;1663,79110262;n.a.;n.a.;3643,47767810;80,94118878;170,87584297;n.a.;1744,73229139;6138,04014884;2494,56247075
31/12/2012;2012;INTEGRATED ENGINEERING SERVICES (ABERDEEN) LIMITED; D;GBP;kEUR;1,196000;209,29968244;0,00000000;209,29968244;0,00000000;8163,88361346;0,00000000;3919,28605352;4244,59755994;2640,76399334;6457,19420291;21,52796734;0,00000000;21,52796734;21,52796734;1894,46112565;2,39199637;953,21055375;938,85857553;121,00000000;16275,14330676;n.a.;11871,47798816;4403,66531860;2369,27240525;2034,39291334;31,09595282;2,39199637;28,70395645;2064,29286798;551,35516346;1512,93770452;n.a.;n.a.;n.a.;1512,93770452;n.a.;n.a.;8008,40384936;80,13187842;2,39199637;n.a.;1593,06958294;10155,22059213;2114,52479177
31/12/2011;2011;INTEGRATED ENGINEERING SERVICES (ABERDEEN) LIMITED; D;GBP;kEUR;1,194910;231,81343300;0,00000000;231,81343300;0,00000000;6838,49627336;13,14406063;2980,11702005;3846,43010728;1793,56681921;4939,77696909;34,65252349;2,38982921;32,26269428;32,26269428;2097,07512839;92,00842444;860,33851421;1143,53327514;95,00000000;14068,92453653;n.a.;10352,74012099;3714,98950094;1917,83793793;1797,15156302;26,28812127;2,38982921;23,89829206;1821,04985508;530,54208376;1290,50777131;n.a.;n.a.;n.a.;1290,50777131;n.a.;n.a.;6235,06439881;78,86436380;2,38982921;n.a.;1369,37213512;8137,36844690;1876,01592682
